split,epoch,step,loss,ppl,tokens,tok_per_s,dt_s,lr_proj,lr_dino,gpu_mem_mb,g_has,l_has,ablation_mode,val_ppl_vis,val_ppl_no_vis,test_ppl_vis,test_ppl_no_vis
val_vis,1,20,3.0032326,20.150571,128,2869.4023,0.044608593,5e-05,1e-05,9487.4829,80,71,both,,,,
val_vis,1,-1,2.9196149,18.534148,,,,,,9487.4829,80,71,both,,,,
val_novis,1,10,7.8633093,2600.1108,156,4516.7601,0.034538031,5e-05,1e-05,9487.4829,0,0,none,,,,
val_novis,1,20,7.9164558,2742.0356,128,3843.8527,0.033299923,5e-05,1e-05,9487.4829,0,0,none,,,,
val_novis,1,-1,7.8899489,2670.3073,,,,,,9487.4829,0,0,none,,,,
train_summary,1,-1,5.3497213,210.54961,,,,,,,,,global_only,,,,
val_summary,1,-1,,,,,,,,,,,,18.534148,2670.3073,,
train,2,10,2.6413816,14.032578,164,1805.0621,0.090855598,6e-05,1.2e-05,9487.4829,40,37,global_only,,,,
train,2,20,2.5026411,12.214712,120,1323.1486,0.090692759,7e-05,1.4e-05,9487.4829,80,72,global_only,,,,
train,2,30,2.0444351,7.7247934,136,1503.0614,0.090481997,8e-05,1.6e-05,9487.4829,120,107,global_only,,,,
train,2,40,2.0137053,7.4910228,200,2227.7245,0.089777708,9e-05,1.8e-05,9487.4829,160,143,global_only,,,,
train,2,50,1.8240179,6.196706,160,1788.001,0.089485407,0.0001,2e-05,9487.4829,200,178,global_only,,,,
train,2,-1,2.2060746,9.0800036,,,,,,9487.4829,200,178,global_only,,,,
val_vis,2,10,1.6125418,5.0155436,156,3555.1322,0.043880224,0.0001,2e-05,9487.4829,40,35,both,,,,
val_vis,2,20,1.7654138,5.8439899,128,2856.912,0.044803619,0.0001,2e-05,9487.4829,80,71,both,,,,
val_vis,2,-1,1.6891684,5.4149758,,,,,,9487.4829,80,71,both,,,,
val_novis,2,10,7.8633093,2600.1108,156,4513.1773,0.034565449,0.0001,2e-05,9487.4829,0,0,none,,,,
val_novis,2,20,7.9164558,2742.0356,128,3840.8553,0.033325911,0.0001,2e-05,9487.4829,0,0,none,,,,
val_novis,2,-1,7.8899489,2670.3073,,,,,,9487.4829,0,0,none,,,,
train_summary,2,-1,2.2060746,9.0800036,,,,,,,,,global_only,,,,
val_summary,2,-1,,,,,,,,,,,,5.4149758,2670.3073,,
train,3,10,1.7600562,5.8127643,244,2626.8835,0.092885733,9.9992469e-05,1.9998494e-05,9487.4829,40,38,global_only,,,,
train,3,20,1.7924158,6.0039392,140,1557.331,0.089897394,9.9969877e-05,1.9993975e-05,9487.4829,80,72,global_only,,,,
